ASAP;As Soon As Possible
BBIAB;Be Back In A Bit
BBL;Be Back Later
BBS;Be Back Soon
BF;Boyfriend
BFF;Best Friends Forever
BFFL;Best Friends for Life
BRB;Be Right Back
CYA;See You
FAQ;Frequently Asked Questions
FB;Facebook
FML;F-Word My Life
FTFY;Fixed That For You
FTW;For the Win
FYI;For Your Information
G2G;Got to Go
GF;Girlfriend
GR8;Great
GTFO;Get the F-Word Out
HBIC;Head B-word in Charge
HML;Hate My Life
HTH;Hope This Helps
IDK;I Don't Know
IMO;In My Opinion
IMHO;In My Humble Opinion
IRL;In Real Life
ISTG;I Swear to God
JK;Just Kidding
KTHX;OK, Thanks
L8R;Later
LMAO;Laugh My A-Word Off
LMFAO;Laugh My F-ing A-Word Off
LOL;Laugh Out Loud
MWF;Monday, Wednesday, Friday
NM;Nevermind
NP;No Problem
NSFW;Not Safe for Work
OMG;Oh My God
ORLY;Oh Really?
OTOH;On the Other Hand
RN;Right Now
ROFL;Roll On the Floor Laughing
RUH;Are Your Horney
SFW;Safe for Work
SOML;Story of My Life
STFU;Shut the "F-Word" Up
TFTI;Thanks for the Invite
TMI;Too Much Information
TTFN;Ta-ta for now
TTYL;Talk to You Later
TWSS;That's What She Said
U;You
W/;With
W/O;Without
WYD;What You Doing
WTH;What the Hell?
WTF;What the "F-Word"
WYM;What You Mean?
WYSIWYG;What You See Is What You Get
Y;Why
YW;You're Welcome
YWA;You're Welcome Anyway
