,word,score
0,hotel,838.874408874004
1,room,662.9779724110138
2,food,495.005993498409
3,staff,391.6936434931975
4,service,379.14855174019664
5,place,362.18068640728916
6,rooms,353.5720941556968
7,restaurant,335.3535814491959
8,breakfast,300.1890788161779
9,stay,291.4708862813601
10,area,280.86425695940153
11,dinner,248.6447786463558
12,stayed,246.4708697502454
13,location,242.75077082019578
14,view,235.72615399117527
15,family,234.17219087054576
16,time,233.18156808321507
17,day,228.51990153124063
18,see,214.4445989602687
19,town,208.93593857766663
20,go,208.9129173126431
21,night,196.68138181702878
22,pool,194.0900188781076
23,bolzano,193.13473405821065
24,recommend,186.23470769030595
25,get,185.88365627831735
26,views,180.06259430723262
27,tips,170.39991959090113
28,tip,169.9228456217718
29,wine,165.66087964688347
30,mountains,164.87963300988923
31,quality,160.77748920412304
32,walk,158.69552329965472
33,everything,155.9508085111034
34,menu,154.46746515357395
35,spa,149.78518334710506
36,enjoyed,149.10787864633846
37,dolomites,147.4888698027944
38,pizza,146.25630612322854
39,experience,144.44432636690783
40,made,143.75442883443645
41,visit,143.2252862382292
42,mountain,142.74307373750602
43,people,140.6826254440923
44,price,139.3467932057222
45,bar,138.68260788234454
46,bit,138.21923328268272
47,car,137.79653776147754
48,evening,136.9706919938091
49,week,136.23007444550782
50,skiing,133.46797150819884
51,located,133.14747203573666
52,nights,131.75541179809036
53,italy,131.71953422105213
54,find,131.53053999823777
55,make,128.70739338650387
56,year,128.55227931140269
57,meal,127.59701282768233
58,hiking,126.46751873676573
59,great,126.31979847025323
60,way,125.8255410506301
61,days,124.88210887688444
62,dishes,124.145750361918
63,balcony,123.154390705536
64,parking,123.01732944698873
65,value,122.57249570596669
66,choice,122.53482929056035
67,trip,120.85665982276113
68,take,119.07303696666837
69,return,115.2807351194583
70,come,113.24537931444429
71,want,113.07806926498193
72,found,111.91597036821044
73,city,111.49326770590386
74,enjoy,110.38922164362552
75,lunch,109.02032425359037
76,course,108.85090754691203
77,walking,108.15323777717927
78,buffet,107.31712163643512
79,bathroom,107.13848335687524
80,bus,106.96360986740858
81,village,105.22030735126033
82,went,104.67292776790917
83,try,104.62586886814513
84,eat,104.51100180422908
85,atmosphere,104.43147171267076
86,prices,103.73533293421204
87,kids,103.6534004685643
88,lot,102.9676151882298
89,spent,102.67379555950484
90,years,102.29524877226426
91,feel,101.66558322545052
92,guests,101.18863997816291
93,run,100.38839985916651
94,restaurants,100.21090114655898
95,part,99.80688219163656
96,ski,99.60687840593133
97,hotels,98.49049973466582
98,valley,97.98078106888893
99,loved,97.85781416693074
100,children,97.0785514134627
101,summer,96.86477238313591
102,need,96.77080989102008
103,meals,95.9388282827927
104,times,95.91496122716651
105,swimming,95.03063695740832
106,wines,95.03006626208727
107,home,93.81159170319697
108,center,93.38360488603064
109,centre,92.67913931263857
110,recommended,92.55807615225537
111,minutes,91.74227984226775
112,owners,91.61838336351448
113,station,91.40961017645259
114,beer,90.6944317524583
115,served,90.4423712943858
116,train,89.62629026578509
117,holiday,89.51509234970621
118,sauna,89.49429281242665
119,dining,89.31991828130195
120,got,88.99528640899737
121,say,88.70047748842846
122,facilities,88.69922357675105
123,english,87.13186966307602
124,selection,86.40068241662786
125,owner,85.96432309477211
126,looking,85.67150740141051
127,garden,84.81274415026155
128,nice,84.31616607406134
129,staying,84.0375835912805
130,friends,83.96669558806666
131,floor,83.28935431795232
132,table,83.18583819197185
133,bed,83.05718203976156
134,ortisei,82.89205840301587
135,lots,82.32418782318476
136,nothing,81.82813863689175
137,going,81.38565192271224
138,morning,81.36210066138787
139,money,81.29584293673757
140,ask,80.93171069270196
141,square,79.82007113113809
142,slopes,79.44803702026
143,front,79.30263167896067
144,road,78.7021341080167
145,terrace,78.58640323237296
146,ve,78.45561062841327
147,kind,78.40102362569927
148,think,78.31094125957573
149,ate,77.65867639671876
150,amazing,77.00385089397447
151,end,76.71718744795568
152,reception,76.5820854591587
153,side,75.56950630831962
154,style,75.36378884328926
155,love,75.11007859077144
156,group,74.37318262394434
157,wife,74.24428849604844
158,included,74.11227622847636
159,use,73.28710031080968
160,cable,73.0966604802833
161,stop,72.84051294939233
162,took,72.83456730939882
163,something,72.802656043455
164,building,72.75932978628275
165,winter,72.49828264420668
166,wifi,72.43931853724725
167,look,71.70993481541956
168,pasta,71.46243029701833
169,places,71.44617527684643
170,variety,71.28137430502576
171,relax,70.95589772246159
172,street,70.95331197130082
173,arrived,70.43047385571616
174,booked,70.216745999915
175,came,70.09630890878029
176,couple,69.23165621419534
177,beds,68.14156608860114
178,including,68.0718801300538
179,cuisine,67.55838395066992
180,like,66.80265215228138
181,drive,65.84088642437396
182,thing,65.69438107597794
183,coffee,65.59077466528434
184,internet,64.91336851774695
185,list,64.61509391979133
186,star,63.67929065458839
187,plenty,63.550006370372756
188,offers,63.34263226741253
189,suite,62.89727428353044
190,access,62.77955407230439
191,corvara,62.70313661402173
192,board,62.58517785695463
193,lift,62.170084073733534
194,house,62.16367533458013
195,problem,61.81014735106712
196,wellness,61.809625481897534
197,water,61.49507949481299
198,pizzas,60.78834016942574
199,world,60.536942164906904
200,superb,60.446687198531
201,know,60.236983176359345
202,perfect,59.87758885203004
203,lake,59.64793188268326
204,la,59.42155899027254
205,region,59.33073071964242
206,things,59.11488974035801
207,relaxing,59.090557447011506
208,offered,58.991897097586396
209,drinks,58.68884508700364
210,charming,58.50387730654137
211,husband,58.12305799891741
212,park,58.08138474857963
213,wait,57.98429421359379
214,season,57.96132090945804
215,help,57.68439666637037
216,afternoon,57.59438746803478
217,meat,57.57381751749431
218,castelrotto,57.42745801005167
219,top,57.11286987361549
220,order,57.112710737557066
221,size,56.986086601776314
222,pay,56.709415181615185
223,taste,56.65344226096322
224,welcoming,56.46785881180221
225,liked,56.297892866509
226,kitchen,56.01744606341075
227,setting,55.86635613533369
228,excellent,55.847635858914124
229,used,55.53665587502286
230,distance,55.526730712597534
231,minute,55.41997396119011
232,drink,55.27676785500728
233,expect,55.16813935997758
234,felt,55.08845905135956
235,spend,54.97414309751573
236,dinners,54.62998545925008
237,chef,54.52436511086776
238,south,54.22897978074878
239,euros,54.18220277346137
240,hours,54.155900037552065
241,offer,54.01659119532224
242,everyone,53.85758501938349
243,asked,53.776241712122
244,overlooking,53.67760261461437
245,sit,53.46728680549014
246,tour,53.403118293868765
247,provided,53.28196004980555
248,weather,52.83054424279309
249,courses,52.57027575850541
